"""",FK1-01004,FK1-01004 | truza bordada ; talla-4 color: celeste color: na,,"update sku set sku_readable = ""FK1-01004 | truza bordada ; talla-4 color: celeste color: na"" where sku = ""FK1-01004"";"
"""",FK1-02004,FK1-02004 | truza bordada ; talla-6 color: celeste color: na,,"update sku set sku_readable = ""FK1-02004 | truza bordada ; talla-6 color: celeste color: na"" where sku = ""FK1-02004"";"
"""",FK1-03004,FK1-03004 | truza bordada ; talla-8 color: celeste color: na,,"update sku set sku_readable = ""FK1-03004 | truza bordada ; talla-8 color: celeste color: na"" where sku = ""FK1-03004"";"
"""",FK1-04004,FK1-04004 | truza bordada ; talla-10 color: celeste color: na,,"update sku set sku_readable = ""FK1-04004 | truza bordada ; talla-10 color: celeste color: na"" where sku = ""FK1-04004"";"
"""",FK1-05004,FK1-05004 | truza bordada ; talla-12 color: celeste color: na,,"update sku set sku_readable = ""FK1-05004 | truza bordada ; talla-12 color: celeste color: na"" where sku = ""FK1-05004"";"
"""",FK1-06004,FK1-06004 | truza bordada ; talla-14 color: celeste color: na,,"update sku set sku_readable = ""FK1-06004 | truza bordada ; talla-14 color: celeste color: na"" where sku = ""FK1-06004"";"
"""",FK1-07004,FK1-07004 | truza bordada ; talla-16 color: celeste color: na,,"update sku set sku_readable = ""FK1-07004 | truza bordada ; talla-16 color: celeste color: na"" where sku = ""FK1-07004"";"
"""",FK1-01005,FK1-01005 | truza bordada ; talla-4 color: rosado color: na,,"update sku set sku_readable = ""FK1-01005 | truza bordada ; talla-4 color: rosado color: na"" where sku = ""FK1-01005"";"
"""",FK1-02005,FK1-02005 | truza bordada ; talla-6 color: rosado color: na,,"update sku set sku_readable = ""FK1-02005 | truza bordada ; talla-6 color: rosado color: na"" where sku = ""FK1-02005"";"
"""",FK1-03005,FK1-03005 | truza bordada ; talla-8 color: rosado color: na,,"update sku set sku_readable = ""FK1-03005 | truza bordada ; talla-8 color: rosado color: na"" where sku = ""FK1-03005"";"
"""",FK1-04005,FK1-04005 | truza bordada ; talla-10 color: rosado color: na,,"update sku set sku_readable = ""FK1-04005 | truza bordada ; talla-10 color: rosado color: na"" where sku = ""FK1-04005"";"
"""",FK1-05005,FK1-05005 | truza bordada ; talla-12 color: rosado color: na,,"update sku set sku_readable = ""FK1-05005 | truza bordada ; talla-12 color: rosado color: na"" where sku = ""FK1-05005"";"
"""",FK1-06005,FK1-06005 | truza bordada ; talla-14 color: rosado color: na,,"update sku set sku_readable = ""FK1-06005 | truza bordada ; talla-14 color: rosado color: na"" where sku = ""FK1-06005"";"
"""",FK1-07005,FK1-07005 | truza bordada ; talla-16 color: rosado color: na,,"update sku set sku_readable = ""FK1-07005 | truza bordada ; talla-16 color: rosado color: na"" where sku = ""FK1-07005"";"
"""",FK1-01006,FK1-01006 | truza bordada ; talla-4 color: amarillo color: na,,"update sku set sku_readable = ""FK1-01006 | truza bordada ; talla-4 color: amarillo color: na"" where sku = ""FK1-01006"";"
"""",FK1-02006,FK1-02006 | truza bordada ; talla-6 color: amarillo color: na,,"update sku set sku_readable = ""FK1-02006 | truza bordada ; talla-6 color: amarillo color: na"" where sku = ""FK1-02006"";"
"""",FK1-03006,FK1-03006 | truza bordada ; talla-8 color: amarillo color: na,,"update sku set sku_readable = ""FK1-03006 | truza bordada ; talla-8 color: amarillo color: na"" where sku = ""FK1-03006"";"
"""",FK1-04006,FK1-04006 | truza bordada ; talla-10 color: amarillo color: na,,"update sku set sku_readable = ""FK1-04006 | truza bordada ; talla-10 color: amarillo color: na"" where sku = ""FK1-04006"";"
"""",FK1-05006,FK1-05006 | truza bordada ; talla-12 color: amarillo color: na,,"update sku set sku_readable = ""FK1-05006 | truza bordada ; talla-12 color: amarillo color: na"" where sku = ""FK1-05006"";"
"""",FK1-06006,FK1-06006 | truza bordada ; talla-14 color: amarillo color: na,,"update sku set sku_readable = ""FK1-06006 | truza bordada ; talla-14 color: amarillo color: na"" where sku = ""FK1-06006"";"
